area_type_Super built-up  Area,area_type_Plot  Area,area_type_Built-up  Area,area_type_Carpet  Area,availability,location_0,location_1,location_2,location_3,location_4,location_5,location_6,location_7,location_8,location_9,location_10,location_11,size,total_sqft,bath,balcony,price
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,1,2,1056.0,2.0,1.0,39.07
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2600.0,5.0,3.0,120.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1440.0,2.0,3.0,62.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1521.0,3.0,1.0,95.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1200.0,2.0,1.0,51.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1170.0,2.0,1.0,38.0
1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,1,1,1,4,2732.0,4.0,2.0,204.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3300.0,4.0,2.0,600.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1310.0,3.0,1.0,63.25
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,1020.0,6.0,2.0,370.0
1.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,1,1,0,3,1800.0,2.0,2.0,70.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2785.0,5.0,3.0,295.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1000.0,2.0,1.0,38.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1100.0,2.0,2.0,40.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2250.0,3.0,2.0,148.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1175.0,2.0,2.0,73.5
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1180.0,3.0,2.0,48.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1540.0,3.0,3.0,60.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2770.0,4.0,2.0,290.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1100.0,2.0,2.0,48.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,600.0,1.0,1.0,15.0
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,1,0,0,3,1755.0,3.0,1.0,122.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,2800.0,5.0,2.0,380.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1767.0,3.0,1.0,103.0
1.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,1,0,1,1,1,1,510.0,1.0,0.0,25.25
1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,1,0,0,0,3,1250.0,3.0,2.0,56.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,660.0,1.0,1.0,23.1
0.0,0.0,1.0,0.0,12,0,0,0,0,0,0,0,0,0,1,1,0,3,1610.0,3.0,2.0,81.0
1.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,1,1,0,1,0,2,1151.0,2.0,2.0,48.77
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1025.0,2.0,1.0,47.0
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,1,1,0,1,1,4,2475.0,4.0,0.0,186.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1075.0,2.0,1.0,35.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1760.0,2.0,2.0,123.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1693.0,3.0,3.0,57.39
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1925.0,3.0,2.0,125.0
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,1,1,1,1,0,2,700.0,2.0,1.0,36.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1070.0,2.0,1.0,45.5
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1724.0,3.0,2.0,125.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1290.0,2.0,2.0,56.12
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1143.0,2.0,2.0,45.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1296.0,2.0,2.0,81.0
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,1,0,0,0,1,1,3,1254.0,3.0,2.0,38.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,600.0,1.0,0.0,38.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,660.0,1.0,0.0,48.0
1.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,1,1,1,1,0,2,1330.74,2.0,2.0,91.79
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,8,600.0,9.0,2.0,200.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,970.0,2.0,0.0,33.0
1.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0,1,1,0,2,1459.0,2.0,1.0,94.82
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,800.0,1.0,1.0,130.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,869.0,2.0,1.0,36.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1270.0,2.0,1.0,50.0
1.0,0.0,0.0,0.0,3,0,0,0,0,0,0,1,0,1,0,1,0,3,1670.0,3.0,1.0,99.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2010.0,3.0,2.0,91.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,1185.0,2.0,2.0,75.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,1600.0,2.0,3.0,75.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1200.0,2.0,2.0,44.0
0.0,0.0,1.0,0.0,2,0,0,0,0,0,0,1,0,1,1,0,1,4,3210.0,2.0,2.0,192.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1500.0,2.0,2.0,185.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,1407.0,4.0,1.0,150.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,840.0,2.0,2.0,45.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,4395.0,3.0,2.0,240.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,845.0,2.0,1.0,55.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,5700.0,5.0,3.0,650.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1160.0,2.0,2.0,44.0
